assignee,count
"科大国盾量子技术股份有限公司, 广东国盾量子科技有限公司",1
爱思开海力士有限公司,1
深圳市兆驰股份有限公司,1
深圳市创互科技有限公司,1
深圳市华星光电半导体显示技术有限公司,1
深圳市无限动力发展有限公司,1
深圳市汇顶科技股份有限公司,1
深圳市祈飞科技有限公司,1
深圳市笨辉光电科技有限公司,1
"深圳市腾讯计算机系统有限公司, 浙江大学",1
深圳科盾量子信息科技有限公司,1
深圳职业技术学院,1
"深圳职业技术学院, 深圳大学",1
湖北嘉民晟洋新能源科技有限公司,1
"湖南师范大学, 深圳京鲁计算科学应用研究院",1
湖南科莱特光电有限公司,1
湖南视比特机器人有限公司,1
湘能华磊光电股份有限公司,1
焦少波,1
燕山大学,1
"爱奥尼克公司, 杜克大学",1
"科大国盾量子技术股份有限公司, 国科量子通信网络有限公司",1
科学技术设备委员会,1
御眼视觉技术有限公司,1
英杰生命新加坡私人有限公司,1
葛兰素集团有限公司,1
葛莱特有限公司,1
西北农林科技大学,1
"西北工业大学, 北京电子工程总体研究所",1
西华大学,1
西南交通大学,1
西南林业大学,1
西安安盟智能科技股份有限公司,1
西安工程大学,1
"西安微电子技术研究所, 西安电子科技大学",1
西安理工大学,1
西安蒜泥电子科技有限责任公司,1
西安迅腾科技有限责任公司,1
西安邮电大学,1
西纳福克斯股份有限公司,1
西藏民族大学,1
西达赛奈医疗中心,1
诺基亚技术有限公司,1
诺基亚有限公司,1
莆田市烛火信息技术有限公司,1
苏辉,1
科技研究局,1
苏摩逻辑公司,1
空气化工产品公司,1
精工爱普生株式会社,1
索尼株式会社,1
索林塔有限公司,1
约翰内斯堡金山大学,1
纳米技术有限公司,1
罗伯特·博世有限公司,1
美光科技公司,1
美国博通公司,1
自然资源部天津海水淡化与综合利用研究所,1
艾利森电话股份有限公司,1
艾康技术公司,1
芯恩（青岛）集成电路有限公司,1
苏州亮芯光电科技有限公司,1
"苏州大学, 上海大学",1
苏州星烁纳米科技有限公司,1
苏州科达科技股份有限公司,1
苏州赛安电子技术有限公司,1
苏州邈航科技有限公司,1
深圳天吉新创科技有限公司,1
深圳华中科技大学研究院,1
深圳先进技术研究院,1
普廷数码影像控股公司,1
"普林斯顿大学理事会, 南加利福尼亚大学",1
智慧谷(厦门)物联科技有限公司,1
智能身型,1
"暨南大学, 南京大学",1
曹志君,1
朱律波,1
李化民,1
"李湛明, 刘雁飞, 傅玥, 吴伟东",1
李炳辉,1
李达,1
杜比实验室特许公司,1
杜邦显示器股份有限公司,1
杨德宁,1
"杨福寿, 张洪林, 朱银根",1
"杭州千基生物科技有限公司, 杭州美联医学股份有限公司",1
杭州希戈科技有限公司,1
杭州思源信息技术股份有限公司,1
"杭州电子科技大学富阳电子信息研究院有限公司, 杭州电子科技大学",1
